SiteID,Date-Time,ac_current,ac_power,ac_power_1,ac_power_2,ac_voltage,ambient_temp,dc_neg_current,dc_neg_voltage,dc_pos_current,dc_pos_voltage,dc_power,dc_power_1,dc_power_2,inverter_temp_2,inveter_temp,module_temp_1,module_temp_2,module_temp_3,poa_irradiance
50,2004-01-01 00:00:00,4.874,-13.324,,,107.375,2.974,0.007,148.966,0,148.698,1.313,0,1.04276,11.652,13.091,13.25,0,0,-6.144
50,2004-01-01 00:15:00,5.23,-14.273,,,115.193,3.603,0.008,159.847,0,159.554,1.437,0,1.27878,12.479,13.965,14.127,0,0,-5.556
50,2004-01-01 00:30:00,5.236,-14.285,,,115.312,5.323,0.008,159.89,0,159.604,1.433,0,1.27912,12.625,13.95,14.143,0,0,-6.052
50,2004-01-01 00:45:00,5.233,-14.283,,,115.26,5.153,0.008,159.808,0,159.535,1.441,0,1.27846,12.7,13.867,14.038,0,0,-7.081
50,2004-01-01 01:00:00,5.213,-14.295,,,114.974,4.658,0.008,159.455,0,159.185,1.446,0,1.27564,12.767,13.865,14.023,0,0,-7.542
50,2004-01-01 01:15:00,5.189,-14.249,,,114.436,4.03,0.008,158.676,0,158.395,1.428,0,1.26941,12.733,13.863,13.972,0,0,-8.694
50,2004-01-01 01:30:00,5.53,-15.222,,,121.95,4,0.009,169.091,0,168.788,1.545,0,1.52182,13.713,14.853,14.918,0,0,-8.471
50,2004-01-01 01:45:00,5.172,-14.261,,,114.043,3.076,0.008,158.201,0,157.92,1.466,0,1.26561,12.93,13.847,13.929,0,0,-8.53
50,2004-01-01 02:00:00,4.829,-13.338,,,106.478,2.762,0.008,147.695,0,147.432,1.381,0,1.18156,11.967,12.898,12.962,0,0,-7.64
50,2004-01-01 02:15:00,5.179,-14.273,,,114.162,2.911,0.008,158.346,0,158.057,1.453,0,1.26677,12.731,13.735,13.827,0,0,-7.845
50,2004-01-01 02:30:00,5.179,-14.256,,,114.185,3.229,0.008,158.366,0,158.077,1.459,0,1.26693,12.597,13.731,13.813,0,0,-7.106
50,2004-01-01 02:45:00,5.18,-14.268,,,114.224,3.19,0.008,158.396,0,158.111,1.471,0,1.26717,12.531,13.652,13.767,0,0,-6.417
50,2004-01-01 03:00:00,5.183,-14.278,,,114.276,2.788,0.008,158.454,0,158.165,1.46,0,1.26763,12.433,13.616,13.709,0,0,-8.06
50,2004-01-01 03:15:00,5.185,-14.264,,,114.326,4.518,0.008,158.518,0,158.23,1.473,0,1.26814,12.527,13.734,13.756,0,0,-6.837
50,2004-01-01 03:30:00,5.532,-15.23,,,121.983,3.998,0.009,169.139,0,168.834,1.605,0,1.52225,13.509,14.577,14.675,0,0,-8.955
50,2004-01-01 03:45:00,5.187,-14.287,,,114.401,4.143,0.008,158.646,0,158.356,1.482,0,1.26917,12.649,13.682,13.765,0,0,-7.924
50,2004-01-01 04:00:00,4.839,-13.321,,,106.737,4.42,0.008,147.997,0,147.728,1.373,0,1.18398,11.852,12.808,12.913,0,0,-7.421
50,2004-01-01 04:15:00,5.179,-14.283,,,114.212,4.032,0.008,158.382,0,158.113,1.485,0,1.26706,12.827,13.798,13.814,0,0,-7.974
50,2004-01-01 04:30:00,5.175,-14.28,,,114.135,3.408,0.008,158.282,0,158.009,1.469,0,1.26626,12.952,13.842,13.836,0,0,-8.411
50,2004-01-01 04:45:00,5.173,-14.254,,,114.102,3.482,0.008,158.236,0,157.958,1.459,0,1.26589,12.843,13.743,13.771,0,0,-8.642
50,2004-01-01 05:00:00,5.169,-14.292,,,114.015,4.224,0.008,158.123,0,157.846,1.482,0,1.26498,12.774,13.731,13.788,0,0,-7.951
50,2004-01-01 05:15:00,5.159,-14.258,,,113.767,4.364,0.008,157.843,0,157.558,1.505,0,1.26274,12.802,13.74,13.776,0,0,-6.889
50,2004-01-01 05:30:00,5.161,-14.273,,,113.795,4.173,0.008,157.917,0,157.621,1.497,0,1.26334,12.867,13.726,13.767,0,0,-7.664
50,2004-01-01 05:45:00,5.155,-14.278,,,113.715,3.579,0.008,157.842,0,157.545,1.473,0,1.26274,12.825,13.742,13.796,0,0,-8.563
50,2004-01-01 06:00:00,5.155,-14.261,,,113.715,3.661,0.008,157.851,0,157.565,1.492,0,1.26281,12.753,13.69,13.741,0,0,-7.584
50,2004-01-01 06:15:00,5.142,-14.254,,,113.39,3.262,0.008,157.442,0,157.159,1.474,0,1.25954,12.724,13.725,13.78,0,0,-6.432
50,2004-01-01 06:30:00,5.139,-14.275,,,113.377,2.796,0.008,157.421,0,157.136,1.471,0,1.25937,12.613,13.674,13.717,0,0,-7.442
50,2004-01-01 06:45:00,5.147,-14.276,,,113.531,3.297,0.008,157.563,0,157.265,1.458,0,1.2605,12.653,13.693,13.692,0,0,-7.943
50,2004-01-01 07:00:00,5.149,-14.256,,,113.528,2.415,0.008,157.552,0,157.262,1.491,0,1.26042,12.745,13.694,13.715,0,0,-7.941
50,2004-01-01 07:15:00,5.15,-13.532,,,113.597,2.106,0.011,159.036,0,159.373,1.903,0,1.7494,12.564,13.611,13.629,0,0,-6.622
50,2004-01-01 07:30:00,5.857,-76.518,,,121.351,2.372,0.101,218.86,0.065,219.211,38.757,14.24872,22.10486,13.312,15.038,15.902,0,0,3.055
50,2004-01-01 07:45:00,11.68,1107.518,,,114.239,1.823,2.863,213.253,2.83,211.908,1298.612,599.69964,610.54334,12.305,15.85,18.847,0,0,202.154
50,2004-01-01 08:00:00,18.478,1997.011,,,114.483,3.747,4.731,227.716,4.689,226.088,2268.482,1060.12663,1077.3244,12.233,18.63,23.563,0,0,339.129
