SiteID,Date-Time,ac_current,ac_power,ac_voltage,ambient_temp,dc_neg_current,dc_neg_voltage,dc_pos_current,dc_pos_voltage,dc_power,dc_power_1,dc_power_2,inverter_temp_2,inveter_temp,module_temp_1,module_temp_2,module_temp_3,poa_irradiance
50,2005-01-03 12:00:00,38.533,4523.336,100.331,3.531,11.506,182.534,11.59,180.786,5163.585,2095.30974,2100.2362,30.48,43.364,9.694,0,0,844.53
50,2005-01-03 12:15:00,43.518,5113.864,115.931,5.755,13.074,209.413,13.169,207.57,5836.095,2733.48933,2737.86556,35.397,50.261,11.304,0,0,970.035
50,2005-01-03 12:30:00,42.769,5018.779,115.768,4.494,12.78,210.242,12.877,207.941,5721.89,2677.65626,2686.89276,35.388,50.167,11.489,0,0,956.143
50,2005-01-03 12:45:00,43.561,5118.988,115.843,3.684,12.866,211.532,12.984,208.661,5792.253,2709.25442,2721.57071,35.461,50.176,11.655,0,0,935.226
50,2005-01-03 13:00:00,42.431,4974.974,115.654,5.21,12.527,210.702,12.649,207.92,5620.441,2629.98008,2639.46395,35.631,50.206,11.833,0,0,908.641
50,2005-01-03 13:15:00,41.27,4831.175,115.582,5.67,12.098,211.539,12.236,208.986,5456.498,2557.1527,2559.19882,35.506,50.109,11.948,0,0,879.671
50,2005-01-03 13:30:00,39.492,4613.136,115.692,5.181,11.53,210.835,11.657,208.24,5181.463,2427.45368,2430.92755,35.468,50.006,12.112,0,0,830.052
50,2005-01-03 13:45:00,37.885,4411.291,115.527,4.218,10.972,211.231,11.055,208.66,4931.855,2306.7363,2317.62653,35.197,49.598,12.16,0,0,782.314
50,2005-01-03 14:00:00,36.062,4188.071,115.469,3.682,10.142,217.704,10.215,215.279,4698.025,2199.07499,2207.95397,34.821,48.875,12.177,0,0,730.403
50,2005-01-03 14:15:00,35.059,4066.451,115.425,3.607,9.989,212.154,10.018,209.746,4500.619,2101.23543,2119.20631,34.253,48.332,12.094,0,0,701.496
50,2005-01-03 14:30:00,32.507,3751.211,115.407,3.327,8.978,218.949,8.994,216.691,4174.521,1948.91885,1965.72412,33.634,47.564,12.029,0,0,639.976
50,2005-01-03 14:45:00,29.503,3373.437,115.183,3.802,8.029,219.68,8.036,217.607,3744.047,1748.68985,1763.81072,33.128,47.254,11.985,0,0,572.942
50,2005-01-03 15:00:00,25.503,2877.889,115.149,3.562,6.806,221.326,6.812,219.467,3200.286,1495.0092,1506.34476,33.013,46.823,11.992,0,0,489.214
50,2005-01-03 15:15:00,22.006,2446.398,115.093,3.233,5.726,225.217,5.741,223.559,2744.799,1283.45222,1289.59254,32.614,46.187,11.977,0,0,415.703
