SiteID,Date-Time,ac_power,ac_power_1,ac_voltage,ambient_temp,dc_neg_current,dc_neg_voltage,dc_pos_current,dc_pos_voltage,dc_power,dc_power_1,dc_power_2,inverter_temp_2,inveter_temp,module_temp_1,module_temp_2,module_temp_3,poa_irradiance
50,2009-01-01 00:00:00,0.468,-0.001,0,10.117,0.008,0.157,0,0.008,0.001,0,0.00126,18.52,18.607,19.71,0,0,-5.854
50,2009-01-01 00:15:00,0.571,0.063,0,10.136,0.008,0.11,0,0.008,0.001,0,0.00088,18.427,18.636,19.702,0,0,-5.796
50,2009-01-01 00:30:00,0.551,0.063,0,9.977,0.008,0.102,0,0.007,0.001,0,0.00082,18.36,18.565,19.704,0,0,-6.333
50,2009-01-01 00:45:00,0.535,0.063,0,10.173,0.008,0.101,0,0.008,0.001,0,0.00081,18.09,18.438,19.656,0,0,-5.709
50,2009-01-01 01:00:00,0.513,0.063,0,10.355,0.008,0.096,0,0.007,0.001,0,0.00077,17.896,18.309,19.546,0,0,-6.361
50,2009-01-01 01:15:00,0.547,0.063,0,10.446,0.008,0.062,0,0.008,0.001,0,0.0005,17.875,18.192,19.438,0,0,-5.8
50,2009-01-01 01:30:00,0.533,0.061,0,10.173,0.008,0.054,0,0.008,0,0,0.00043,18.11,18.351,19.409,0,0,-5.98
50,2009-01-01 01:45:00,0.539,0.062,0,9.107,0.008,0.046,0.001,0.008,0,0.00001,0.00037,18.319,18.422,19.468,0,0,-6.576
50,2009-01-01 02:00:00,0.533,0.059,0,9.558,0.008,0.037,0,0.008,0,0,0.0003,18.255,18.379,19.516,0,0,-5.547
50,2009-01-01 02:15:00,0.509,0.048,0,9.381,0.008,0.03,0,0.007,0,0,0.00024,18.846,18.765,19.611,0,0,-6.524
50,2009-01-01 02:30:00,0.517,0.048,0,9.021,0.008,0.023,0.001,0.008,0,0.00001,0.00018,18.898,18.894,19.742,0,0,-5.794
50,2009-01-01 02:45:00,0.483,0.036,0,8.957,0.008,0.018,0.001,0.008,0,0.00001,0.00014,18.909,18.896,19.855,0,0,-6.201
50,2009-01-01 03:00:00,0.482,0.033,0,7.832,0.008,0.024,0,0.008,0,0,0.00019,18.909,18.947,19.943,0,0,-6.218
50,2009-01-01 03:15:00,0.509,0.053,0,8.5,0.008,0.017,0,0.008,0,0,0.00014,18.701,18.823,19.965,0,0,-4.123
50,2009-01-01 03:30:00,0.482,0.035,0,8.387,0.008,0.018,0,0.008,0,0,0.00014,18.665,18.766,19.957,0,0,-5.592
50,2009-01-01 03:45:00,0.489,0.039,0,7.974,0.008,0.018,0,0.007,0,0,0.00014,18.587,18.687,19.896,0,0,-6.379
50,2009-01-01 04:00:00,0.506,0.052,0,8.617,0.008,0.023,0,0.008,0,0,0.00018,18.542,18.627,19.863,0,0,-5.235
50,2009-01-01 04:15:00,0.515,0.05,0,8.69,0.008,0.02,0,0.008,0,0,0.00016,18.369,18.463,19.809,0,0,-5.022
50,2009-01-01 04:30:00,0.516,0.052,0,8.656,0.008,0.028,0,0.008,0,0,0.00022,18.438,18.466,19.704,0,0,-5.635
50,2009-01-01 04:45:00,0.541,0.059,0,8.703,0.008,0.029,0,0.008,0,0,0.00023,18.723,18.698,19.712,0,0,-6.214
50,2009-01-01 05:00:00,0.559,0.057,0,8.025,0.008,0.043,0.001,0.008,0,0.00001,0.00034,18.86,18.808,19.758,0,0,-5.919
50,2009-01-01 05:15:00,0.609,0.063,0,7.762,0.008,0.056,0.001,0.009,0,0.00001,0.00045,18.943,18.902,19.839,0,0,-4.91
50,2009-01-01 05:30:00,0.611,0.063,0,6.928,0.008,0.046,0,0.008,0,0,0.00037,18.917,18.931,19.89,0,0,-5.291
50,2009-01-01 05:45:00,0.628,0.063,0,6.622,0.008,0.074,0.001,0.009,0.001,0.00001,0.00059,18.855,18.873,19.902,0,0,-5.046
50,2009-01-01 06:00:00,0.631,0.066,0,7.724,0.008,0.114,0.001,0.008,0.001,0.00001,0.00091,18.765,18.752,19.898,0,0,-3.785
50,2009-01-01 06:15:00,0.463,0.012,0,8.417,0.008,0.125,0,0.008,0.001,0,0.001,18.627,18.64,19.853,0,0,-4.829
50,2009-01-01 06:30:00,0.424,-0.022,0,8.233,0.008,0.321,0,0.008,0.003,0,0.00257,18.735,18.741,19.848,0,0,-5.31
50,2009-01-01 06:45:00,0.428,-0.017,0,7.831,0.008,2.819,0.001,1.899,0.024,0.0019,0.02255,18.779,18.677,19.843,0,0,-5.365
50,2009-01-01 07:00:00,0.429,-0.017,0,6.928,0.009,30.241,0,29.333,0.292,0,0.27217,18.65,18.613,19.801,0,0,-5.72
50,2009-01-01 07:15:00,-0.726,-0.619,0,7.697,0.027,128.168,0.005,129.652,3.989,0.64826,3.46054,18.562,18.529,19.715,0,0,-2.697
50,2009-01-01 07:30:00,-1.825,-1.169,0,8.585,0.053,189.058,0.018,189.932,13.664,3.41878,10.02007,18.488,18.631,19.651,0,0,9.416
50,2009-01-01 07:45:00,285.139,141.98,0,8.565,0.751,234.812,0.716,236.439,347.691,169.29032,176.34381,18.655,18.851,19.608,0,0,77.667
50,2009-01-01 08:00:00,196.34,98.392,0,8.545,0.62,209.869,0.59,209.039,255.231,123.33301,130.11878,19.404,19.539,19.615,0,0,41.276
50,2009-01-01 08:15:00,436.895,218.605,0,8.497,1.138,227.328,1.128,224.486,513.043,253.22021,258.69926,19.7,19.712,19.583,0,0,79.64
50,2009-01-01 08:30:00,743.121,372.064,0,8.638,1.838,230.502,1.81,231.163,841.273,418.40503,423.66268,20.818,20.59,19.545,0,0,126.606
50,2009-01-01 08:45:00,1006.072,507.927,0,8.845,2.379,234.384,2.392,235.813,1122.368,564.0647,557.59954,22.228,21.914,19.516,0,0,168.796
50,2009-01-01 09:00:00,1472.176,729.596,0,9.067,3.537,231.325,3.459,233.956,1619.686,809.2538,818.19653,25.614,24.491,19.504,0,0,242.678
50,2009-01-01 09:15:00,2492.413,1250.834,0,9.545,5.86,231.942,5.576,246.741,2722.045,1375.82782,1359.18012,28.7,27.579,19.53,0,0,407.739
50,2009-01-01 09:30:00,1402.145,704.01,0,9.785,3.272,236.098,3.244,238.335,1545.863,773.15874,772.51266,27.766,27.626,19.561,0,0,230.595
50,2009-01-01 09:45:00,1427.428,716.536,0,9.762,3.323,236.362,3.294,238.912,1572.369,786.97613,785.43093,27.498,26.964,19.634,0,0,233.234
50,2009-01-01 10:00:00,1688.74,848.684,0,9.984,3.892,237.534,3.878,239.459,1852.804,928.622,924.48233,29.802,28.814,19.685,0,0,274.651
50,2009-01-01 10:15:00,1951.319,979.636,0,9.965,4.469,238.61,4.522,236.357,2134.384,1068.80635,1066.34809,31.422,29.919,19.776,0,0,314.88
50,2009-01-01 10:30:00,2062.011,1039.928,0,10.083,4.824,232.337,4.741,239.223,2253.622,1134.15624,1120.79369,31.965,30.348,19.943,0,0,335.346
50,2009-01-01 10:45:00,3541.46,1786.367,0,10.498,8.084,236.961,8.336,233.61,3862.81,1947.37296,1915.59272,34.871,32.636,20.111,0,0,580.286
50,2009-01-01 11:00:00,3210.945,1626.074,0,11.107,7.908,220.347,7.753,228.505,3498.4,1771.59927,1742.50408,35.832,33.464,20.306,0,0,547.667
50,2009-01-01 11:15:00,2332.925,1175.608,0,11.278,5.452,232.013,5.499,232.78,2544.819,1280.05722,1264.93488,35.564,33.238,20.503,0,0,386.779
