Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,0,0,0,0,0,0,0,0,8,-281.5580811,0.504266357,740.5706787,44.66226006,163.231256,6.269685268,227.6620483,5.597698689,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,0,30,0,0,0,0,0,0,7,-281.5500244,0.512597656,740.2872925,44.93086052,162.3912007,6.60153532,227.6620483,5.774499893,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,1,0,0,0,0,0,0,0,8,-281.5419373,0.520928955,740.0039063,45.20423317,159.5177771,6.933384895,229.0852203,5.951301575,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,1,30,0,0,0,0,0,0,7,-281.6229309,0.438409424,739.8526611,45.52202225,155.3216429,7.06537962,229.0852203,6.052894115,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,2,0,0,0,0,0,0,0,4,-281.7039551,0.355859375,739.7014771,45.84329987,150.3750567,7.197374344,231.6664124,6.154486656,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,2,30,0,0,0,0,0,0,4,-281.7836365,0.274682617,739.5238037,46.2125721,145.0143067,6.921718121,231.6664124,6.245981216,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,3,0,0,0,0,0,0,0,4,-281.8633179,0.193475342,739.3461304,46.58538055,139.4259834,6.646061897,236.7842102,6.337476254,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,3,30,0,0,0,0,0,0,7,-281.9758057,0.078790283,739.2770996,46.76162148,133.718349,6.173170567,236.7842102,6.365105152,0,,,,,,,,,,,,,,,,,,,,,,,,,
