Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,431499,-,-,-,35.05,-106.62,-7,1558,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2014,1,1,0,0,0,0,0,-0.37775268554685226,56.96991729736328,167.75712028822272,3.0167183876037598
2014,1,1,0,30,0,0,0,-0.5046142578124773,57.997554779052734,167.1814864938327,3.1086084842681885
2014,1,1,1,0,0,0,0,-0.6315063476562273,59.03996658325195,163.75237251489403,3.200498580932617
2014,1,1,1,30,0,0,0,-0.7497619628906023,59.92424011230469,158.82235202814132,3.3228063583374023
2014,1,1,2,0,0,0,0,-0.8680175781249773,60.81975555419922,153.2220280811608,3.4451143741607666
2014,1,1,2,30,0,0,0,-0.9910339355468523,61.845767974853516,147.3118683694228,3.5806713104248047
2014,1,1,3,0,0,0,0,-1.1140502929687273,62.88584899902344,141.25410723459686,3.7162282466888428
2014,1,1,3,30,0,0,0,-1.2188781738281023,63.68082809448242,135.1319627421879,3.86318302154541
2014,1,1,4,0,0,0,0,-1.3237060546874773,64.48472595214844,128.99495806833073,4.010138034820557
2014,1,1,4,30,0,0,0,-1.3976806640624773,65.07260131835938,122.87741439478444,4.179204940795898
2014,1,1,5,0,0,0,0,-1.4716857910156023,65.6654052734375,116.80688997185263,4.34827184677124
2014,1,1,5,30,0,0,0,-1.5264648437499773,65.99877166748047,110.80855946757003,4.470468521118164
2014,1,1,6,0,0,0,0,-1.5812744140624773,66.33403778076172,104.90785832704364,4.59266471862793
2014,1,1,6,30,0,0,0,-1.4284423828124773,65.70549774169922,99.13238240239295,4.64914608001709
