Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1241339,-,-,-,41.05,-73.7,-5,119,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2006,1,1,0,0,0,0,0,-1.4700683593749773,92.93981170654297,161.95873958455266,0.7132295966148376
2006,1,1,0,30,0,0,0,-1.5181945800781023,93.13195037841797,160.76641692602868,0.7330795526504517
2006,1,1,1,0,0,0,0,-1.5663513183593523,93.32450866699219,157.7859262795884,0.7529294490814209
2006,1,1,1,30,0,0,0,-1.7352050781249773,94.65795135498047,153.62823349761763,0.7961951494216919
2006,1,1,2,0,0,0,0,-1.9040588378906023,96.01190948486328,148.776556568572,0.8394608497619629
2006,1,1,2,30,0,0,0,-1.8322509765624773,95.8762435913086,143.52717329557146,0.8459582328796387
2006,1,1,3,0,0,0,0,-1.7604125976562273,95.73960876464844,138.0529085347442,0.8524555563926697
2006,1,1,3,30,0,0,0,-1.5682434082031023,94.98677062988281,132.45839525271185,0.796784520149231
2006,1,1,4,0,0,0,0,-1.3760742187499773,94.23857116699219,126.81190643813403,0.741113543510437
2006,1,1,4,30,0,0,0,-1.2242797851562273,93.6640625,121.16236834512361,0.6682170629501343
2006,1,1,5,0,0,0,0,-1.0725158691406023,93.09246826171875,115.54862791587888,0.5953205227851868
2006,1,1,5,30,0,0,0,-0.9693054199218523,92.65290069580078,110.0048058250439,0.5715624094009399
2006,1,1,6,0,0,0,0,-0.8661254882812273,92.21566009521484,104.56365948850727,0.5478042960166931
2006,1,1,6,30,0,0,0,-0.7593749999999773,91.5702896118164,99.25892244304217,0.534064531326294
