Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,997743,-,-,-,27.97,-82.46,-5,8,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2007,1,1,0,0,0,0,0,21.745904541015648,88.75318908691406,171.04415237049005,4.063962459564209
2007,1,1,0,30,0,0,0,21.602929687500023,89.2905044555664,175.00972260981956,4.039992809295654
2007,1,1,1,0,0,0,0,21.459985351562523,89.8309555053711,172.1855407245323,4.0160231590271
2007,1,1,1,30,0,0,0,21.307702636718773,90.5494384765625,166.2674155520927,3.9712133407592773
2007,1,1,2,0,0,0,0,21.155450439453148,91.27409362792969,159.8245774600097,3.926403760910034
2007,1,1,2,30,0,0,0,21.018518066406273,91.96295928955078,153.24679369276006,3.926356315612793
2007,1,1,3,0,0,0,0,20.881616210937523,92.65737915039062,146.62969475662,3.9263086318969727
2007,1,1,3,30,0,0,0,20.755242919921898,93.35469818115234,140.010935333977,3.9308509826660156
2007,1,1,4,0,0,0,0,20.628869628906273,94.05780792236328,133.41160840521746,3.9353930950164795
2007,1,1,4,30,0,0,0,20.518701171875023,94.70365905761719,126.84734421263535,3.9290335178375244
2007,1,1,5,0,0,0,0,20.408502197265648,95.35456085205078,120.33233080182842,3.9226739406585693
2007,1,1,5,30,0,0,0,20.333947753906273,96.12973022460938,113.88123710179968,3.944749355316162
2007,1,1,6,0,0,0,0,20.259362792968773,96.91057586669922,107.51045710893987,3.966824769973755
2007,1,1,6,30,0,0,0,20.260675048828148,97.7575912475586,101.23918366485154,4.011992931365967
2007,1,1,7,0,0,0,0,20.262017822265648,98.60456848144531,95.09054384787007,4.057161331176758
2007,1,1,7,30,0,0,0,20.653527832031273,97.9946517944336,89.08934527213081,4.0319013595581055
2007,1,1,8,0,9,0,9,21.045037841796898,97.3636474609375,83.28044116129414,4.006640911102295
2007,1,1,8,30,29,0,29,21.585748291015648,95.81352996826172,77.7002231744784,3.972700595855713
2007,1,1,9,0,60,0,60,22.126489257812523,94.27084350585938,72.40571155223095,3.938760280609131
2007,1,1,9,30,97,0,97,22.652642822265648,90.87141418457031,67.46641797875297,3.99735426902771
2007,1,1,10,0,62,0,62,23.178765869140648,87.60238647460938,62.96778510165161,4.055948257446289
2007,1,1,10,30,207,33,224,23.545098876953148,85.39301300048828,59.01220524646894,4.128645420074463
2007,1,1,11,0,260,221,384,23.911431884765648,83.24287414550781,55.71674049069296,4.201342582702637
2007,1,1,11,30,283,137,365,23.971887207031273,82.63775634765625,53.205216193644894,4.240880489349365
2007,1,1,12,0,292,103,356,24.032342529296898,82.03630828857422,51.59299647052788,4.280418395996094
2007,1,1,12,30,276,53,309,23.822229003906273,83.07855987548828,50.96596388542889,4.223596572875977
2007,1,1,13,0,150,0,150,23.612084960937523,84.13555145263672,51.36039537805166,4.166774272918701
